ID,Requirement,Verification Method,Expected Result,Actual Result,Evidence,Status,Date
REQ-001,Container configuration persists,Destroy and recreate container,Configuration remains present,,,NOT RUN,
REQ-002,ARR applications communicate,Run application API connection tests,All configured tests pass,,,NOT RUN,
REQ-003,Media paths support hardlinks,Compare device and inode identifiers,Source and imported file share inode where applicable,,,NOT RUN,
REQ-004,Prowlarr syncs applications,Trigger sync and inspect application state,Expected indexers appear in target applications,,,NOT RUN,
REQ-005,Quality policy is correct,Score controlled release examples,Ranking and rejection match policy,,,NOT RUN,
REQ-006,Download handoff works,Submit controlled test,Downloader receives job with correct category,,,NOT RUN,
REQ-007,Import works,Complete controlled test job,File imports to expected root path and naming,,,NOT RUN,
REQ-008,Media server detects item,Run library scan,Test item appears once with correct metadata,,,NOT RUN,
REQ-009,HA automation works,Exercise trigger and conditions,Action occurs only under valid conditions,,,NOT RUN,
REQ-010,STT works,Speak known sentence,Transcript meets acceptance criteria,,,NOT RUN,
REQ-011,TTS works,Synthesize known response,Audio is intelligible and complete,,,NOT RUN,
REQ-012,Voice works end to end,Issue known voice command,Action and spoken response both complete,,,NOT RUN,
REQ-013,Core local mode survives WAN loss,Disconnect internet and rerun local tests,Defined local functions remain operational,,,NOT RUN,
